country,iso_a3,value,source,classif1,year
Bolivia,BOL,84.471,LFS - Continuous Employment Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Guatemala,GTM,83.189,HIES - Household Income and Expenditure Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Honduras,HND,82.612,HS - Continous Multi-Purpose Household Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2017
El Salvador,SLV,66.495,HS - Multi-purpose Household Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Peru,PER,71.648,LFS - Permanent Employment Survey, National,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Paraguay,PRY,66.838,HS - Continuous Permanent Household Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Ecuador,ECU,68.146,LFS - National Survey on Employment, Unemployment and Underemployment,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Dominican Republic,DOM,55.676,LFS - Continuous National Labour Force Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Mexico,MEX,56.333,LFS - National Occupation and Employment Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Colombia,COL,56.506,LFS - Integrated Household Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Panama,PAN,56.127,LFS - Labour Market Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Suriname,SUR,52.108,HIES - Survey on Living Conditions,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2016
Argentina,ARG,50.445,LFS - Permanent Household Survey, Urban,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Jamaica,JAM,54.64,LFS - Labour Force Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Guyana,GUY,51.168,LFS - Labour Force Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2019
Brazil,BRA,37.035,HS - Continuous National Household Sample Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Costa Rica,CRI,37.102,LFS - Continuous Employment Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Uruguay,URY,31.757,LFS - Continous Household Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
Chile,CHL,27.355,LFS - National Employment Survey,Economic activity (Agriculture, Non-Agriculture): Non-agriculture,2023
