year,region,informality
2007,Amazonas,91.879257
2008,Amazonas,90.408798
2009,Amazonas,90.10675
2010,Amazonas,89.885452
2011,Amazonas,89.64222
2012,Amazonas,87.24015
2013,Amazonas,87.580338
2014,Amazonas,87.612503
2015,Amazonas,87.150383
2016,Amazonas,86.58374
2017,Amazonas,84.930008
2018,Amazonas,85.350143
2019,Amazonas,86.583931
2020,Amazonas,88.085152
2021,Amazonas,88.269966
2022,Amazonas,88.26017
2023,Amazonas,86.44063
2007,Ancash,85.401985
2008,Ancash,85.55191
2009,Ancash,85.052307
2010,Ancash,82.261093
2011,Ancash,81.963127
2012,Ancash,80.113441
2013,Ancash,79.514221
2014,Ancash,79.685585
2015,Ancash,81.98703
2016,Ancash,80.711342
2017,Ancash,80.21666
2018,Ancash,80.326675
2019,Ancash,78.690483
2020,Ancash,81.904831
2021,Ancash,83.282928
2022,Ancash,81.377266
2023,Ancash,80.66955
2007,Apurimac,91.324623
2008,Apurimac,90.42189
2009,Apurimac,90.713463
2010,Apurimac,89.893059
2011,Apurimac,89.239983
2012,Apurimac,94.203217
2013,Apurimac,88.787743
2014,Apurimac,87.110229
2015,Apurimac,88.307739
2016,Apurimac,90.363098
2017,Apurimac,86.691666
2018,Apurimac,88.04084
2019,Apurimac,85.372154
2020,Apurimac,88.754372
2021,Apurimac,90.565414
2022,Apurimac,87.597717
2023,Apurimac,89.19228
2007,Arequipa,74.735489
2008,Arequipa,72.253006
2009,Arequipa,69.449028
2010,Arequipa,68.267799
2011,Arequipa,69.027962
2012,Arequipa,66.973312
2013,Arequipa,65.260994
2014,Arequipa,67.507294
2015,Arequipa,67.189476
2016,Arequipa,67.376015
2017,Arequipa,65.401405
2018,Arequipa,65.267456
2019,Arequipa,66.180305
2020,Arequipa,65.924324
2021,Arequipa,69.134949
2022,Arequipa,67.98201
2023,Arequipa,68.98585
2007,Ayacucho,91.226669
2008,Ayacucho,92.081635
2009,Ayacucho,90.868782
2010,Ayacucho,90.045761
2011,Ayacucho,89.049347
2012,Ayacucho,88.165955
2013,Ayacucho,88.72361
2014,Ayacucho,89.250542
2015,Ayacucho,89.689583
2016,Ayacucho,87.593224
2017,Ayacucho,88.897835
2018,Ayacucho,87.098625
2019,Ayacucho,87.307053
2020,Ayacucho,87.461594
2021,Ayacucho,88.796783
2022,Ayacucho,88.622047
2023,Ayacucho,87.07569
2007,Cajamarca,92.557953
2008,Cajamarca,91.785637
2009,Cajamarca,89.975388
2010,Cajamarca,88.913925
2011,Cajamarca,87.110008
2012,Cajamarca,87.438103
2013,Cajamarca,89.096581
2014,Cajamarca,87.976028
2015,Cajamarca,89.473328
2016,Cajamarca,88.190994
2017,Cajamarca,90.119789
2018,Cajamarca,89.341232
2019,Cajamarca,87.887901
2020,Cajamarca,90.847
2021,Cajamarca,89.382675
2022,Cajamarca,88.296158
2023,Cajamarca,85.04229
2007,Cusco,87.148163
2008,Cusco,87.076088
2009,Cusco,85.281853
2010,Cusco,86.378799
2011,Cusco,83.469978
2012,Cusco,82.222107
2013,Cusco,80.233208
2014,Cusco,81.613777
2015,Cusco,82.994385
2016,Cusco,82.34465
2017,Cusco,82.538124
2018,Cusco,81.608864
2019,Cusco,81.746056
