region,informality,tax_enforcement_exp,ln_tax_enforcement,share_skilled_workers
Amazonas,86.44063,879.214,6.77902832652951,21.9083
Ancash,80.66955,7452.249,8.91627114501188,28.181
Apurimac,89.19228,558.747,6.32569677678585,21.1603
Arequipa,68.98585,7241.185,8.88754014601978,43.482
Ayacucho,87.07569,663.534,6.49758009586554,25.5388
Cajamarca,85.04229,437.822,6.08181243508249,19.9662
Cusco,83.52389,3107.155,8.04146279549986,26.7068
Huancavelica,89.72709,810.077,6.6971293048768,20.9879
Huanuco,88.98984,1631.906,7.39750393582601,21.0195
Ica,64.72511,1248.297,7.12953550138567,42.3565
Junin,82.71548,2981.764,8.00027035067707,32.3671
La Libertad,71.89389,1932.365,7.56649992032413,30.7285
Lambayeque,74.56867,2018.948,7.61033186265675,30.048
Lima,61.544257,31670.538,10.3631421270739,45.3941
Loreto,83.47297,1442.157,7.2738951884786,21.9223
Madre de Dios,78.42346,76.011,4.33087806665507,30.392
Moquegua,65.12224,1462.097,7.28762698557805,44.2883
Pasco,79.89493,789.858,6.67185318246923,27.8291
Piura,78.98602,5277.914,8.57128622287974,24.9803
Puno,88.9659,2549.906,7.84381177472793,24.0216
San Martín,86.95586,1270.418,7.14710125915824,19.6751
Tacna,77.14427,4759.588,8.46791638885755,35.8027
Tumbes,78.32037,327.662,5.79198258926167,28.3598
Ucayali,83.28027,32.21,3.47227696334311,25.8187
